number,value,state,params_elastic_alpha,params_elastic_l1_ratio,params_et_bootstrap,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_family,params_gb_learning_rate,params_gb_max_depth,params_gb_max_features,params_gb_min_samples_leaf,params_gb_min_samples_split,params_gb_n_estimators,params_gb_subsample,params_hgb_l2_regularization,params_hgb_learning_rate,params_hgb_max_iter,params_hgb_max_leaf_nodes,params_hgb_min_samples_leaf,params_lgb_colsample_bytree,params_lgb_learning_rate,params_lgb_max_depth,params_lgb_min_child_samples,params_lgb_n_estimators,params_lgb_num_leaves,params_lgb_reg_alpha,params_lgb_reg_lambda,params_lgb_subsample,params_rf_bootstrap,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_ridge_alpha,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_cv_corr,user_attrs_cv_r2,user_attrs_cv_rmse,user_attrs_fold_maes,datetime_start,datetime_complete
104,18.35737653404774,COMPLETE,0.08787107935162096,0.6240971610472914,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44435938519147816,0.185131984402782,22.7037679430415,"[17.31443103757803, 18.98783984441123, 22.165886237801704, 16.23645573335573, 16.89716086756957]",2026-06-19 03:49:27.461369,2026-06-19 03:49:27.510579
202,18.357384172991303,COMPLETE,0.09650778955310081,0.6592701213075178,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4443778072518076,0.18558587261913528,22.69744396914179,"[17.317379124157892, 18.98237977520021, 22.1871700295845, 16.22044725006608, 16.89337389089881]",2026-06-19 03:49:48.680656,2026-06-19 03:49:48.729450
184,18.35742493205264,COMPLETE,0.09816665244418984,0.6648285760694663,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4443659711589184,0.18566871415827868,22.696289557063427,"[17.318629019787643, 18.980434043178995, 22.192290836716754, 16.216987534885952, 16.892122388062464]",2026-06-19 03:49:43.319433,2026-06-19 03:49:43.380330
343,18.35743709972385,COMPLETE,0.10155074282099563,0.6766131645050318,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4443494912080433,0.18581073692848715,22.694310307016295,"[17.31931689238475, 18.97837638494927, 22.201182388674045, 16.210738795725273, 16.891354960138543]",2026-06-19 03:50:12.771401,2026-06-19 03:50:12.824643
154,18.35752692236541,COMPLETE,0.07931122398772919,0.5732765704716303,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4442870977081178,0.18481746899386575,22.708149018154607,"[17.317928843991726, 18.97662755729058, 22.167731958874704, 16.2468947697096, 16.900267462502853]",2026-06-19 03:49:36.868574,2026-06-19 03:49:36.917811
119,18.357575496899855,COMPLETE,0.09441604191946917,0.6556119949897112,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44442852412538875,0.18540588753171106,22.699951892087782,"[17.309507189798968, 18.991264316135215, 22.17544194579298, 16.22755319390766, 16.90813767654702]",2026-06-19 03:49:30.509261,2026-06-19 03:49:30.561663
318,18.35760496938871,COMPLETE,0.09644697513497796,0.6558064959253637,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4443400812366992,0.1856414475279642,22.696669529052336,"[17.323027841750385, 18.976623964852067, 22.19173624872013, 16.218079576718818, 16.888003761331365]",2026-06-19 03:50:08.345142,2026-06-19 03:50:08.396453
691,18.357622312138506,COMPLETE,0.09255435111494129,0.6490642764899983,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4444369761878119,0.1852987425205901,22.701444725505368,"[17.3078405819624, 18.993699285546068, 22.16946933122858, 16.231554990280273, 16.911365722379564]",2026-06-19 03:51:26.334052,2026-06-19 03:51:26.393014
251,18.35764618945396,COMPLETE,0.07822419977809332,0.5734655349115818,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44433616583437957,0.18464543993217108,22.71054495731248,"[17.308529473907026, 18.98656458539351, 22.15902373631159, 16.252926627812684, 16.91252763472946]",2026-06-19 03:49:56.040949,2026-06-19 03:49:56.092676
787,18.357656443848445,COMPLETE,0.10084449272129137,0.6709852411803273,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.444311067760361,0.18583708492701045,22.693943098481853,"[17.325066701649067, 18.972744678859076, 22.2042337429519, 16.209472592969185, 16.88592051194622]",2026-06-19 03:51:45.733313,2026-06-19 03:51:45.792377
